Date,AAPL
2020-09-28,112.09733581542969
2020-09-29,111.24901580810547
2020-09-30,112.92620086669922
2020-10-01,113.88178253173828
2020-10-02,110.20565032958984
2020-10-05,113.59901428222656
2020-10-06,110.34217834472656
2020-10-07,112.21435546875
2020-10-08,112.10711669921875
2020-10-09,114.05730438232422
2020-10-12,121.30227661132812
2020-10-13,118.0844497680664
2020-10-14,118.17221069335938
2020-10-15,117.70417022705078
2020-10-16,116.05625915527344
2020-10-19,113.09194946289062
2020-10-20,114.58387756347656
2020-10-21,113.95979309082031
2020-10-22,112.86766052246094
2020-10-23,112.17533874511719
2020-10-26,112.18511199951172
2020-10-27,113.69651794433594
2020-10-28,108.43096923828125
2020-10-29,112.44839477539062
2020-10-30,106.14925384521484
2020-11-02,106.06147766113281
2020-11-03,107.68992614746094
